autobidder_status,ENTRYTYPE,n_units,total_entries,avg_entries_per_unit_service,avg_price_combos,avg_std_pb1,avg_std_pb5,avg_std_pb10
Autobidder,DAILY,4,13572.0,339.3,1.0,0.0,0.0,0.0
Autobidder,REBID,4,447722.0,11193.05,1.0,0.0,0.0,0.0
Non-Autobidder,DAILY,29,41900.0,152.91970802919707,1.3795620437956204,0.007738708581037148,1.8939797385747488,542.3198511359559
Non-Autobidder,REBID,28,2095584.0,7937.818181818182,1.2727272727272727,0.008993353741788673,1.8415014600428534,301.92596965714864
