DUID,BIDTYPE,IS_AUTOBIDDER,n_offers,avg_std_across_bands,total_distinct_values,std_pb1,std_pb5,std_pb10,n_distinct_pb1,n_distinct_pb5,n_distinct_pb10
WTAHB1,LOWER5MIN,False,1726,1068.3077465886468,20,0.03356628293230697,2.871781984208485,7475.58416772401,2,2,2
ADPBA1,LOWER60SEC,False,5832,0.0,10,0.0,0.0,0.0,1,1,1
BALB1,LOWER60SEC,False,8978,0.0,10,0.0,0.0,0.0,1,1,1
BLYTHB1,LOWER60SEC,False,5558,0.0,10,0.0,0.0,0.0,1,1,1
BOWWBA1,LOWER60SEC,False,5834,0.0,10,0.0,0.0,0.0,1,1,1
BULBES1,LOWER60SEC,False,7513,0.0,10,0.0,0.0,0.0,1,1,1
CAPBES1,LOWER60SEC,False,96,0.0,10,0.0,0.0,0.0,1,1,1
CBWWBA1,LOWER60SEC,False,5825,0.0,10,0.0,0.0,0.0,1,1,1
CHBESS1,LOWER60SEC,False,7210,50.2694620583873,24,0.0,12.692264271425527,46.63105841627029,1,3,2
DALNTH1,LOWER60SEC,False,26,0.0,10,0.0,0.0,0.0,1,1,1
DPNTB1,LOWER60SEC,False,8934,0.0,10,0.0,0.0,0.0,1,1,1
GANNB1,LOWER60SEC,False,8969,0.0,10,0.0,0.0,0.0,1,1,1
GREENB1,LOWER60SEC,False,7757,45.08138094889055,22,0.0,12.53061425428876,0.0,1,3,1
HBESS1,LOWER60SEC,False,9675,0.0,10,0.0,0.0,0.0,1,1,1
HVWWBA1,LOWER60SEC,False,5822,0.0,10,0.0,0.0,0.0,1,1,1
LBB1,LOWER60SEC,False,9455,0.0,10,0.0,0.0,0.0,1,1,1
LVES1,LOWER60SEC,False,9695,0.0,10,0.0,0.0,0.0,1,1,1
MANNUMB1,LOWER60SEC,False,7585,46.565253483364174,29,0.0,0.16444403562578266,460.20431172958246,1,3,2
MREHA1,LOWER60SEC,False,6716,0.0,10,0.0,0.0,0.0,1,1,1
PIBESS1,LOWER60SEC,False,9574,0.0,10,0.0,0.0,0.0,1,1,1
QBYNB1,LOWER60SEC,False,898,0.0,10,0.0,0.0,0.0,1,1,1
RANGEB1,LOWER60SEC,False,7312,0.0,10,0.0,0.0,0.0,1,1,1
RESS1,LOWER60SEC,False,2593,0.0,10,0.0,0.0,0.0,1,1,1
RIVNB2,LOWER60SEC,False,8449,0.0,10,0.0,0.0,0.0,1,1,1
TB2B1,LOWER60SEC,False,10043,0.0,10,0.0,0.0,0.0,1,1,1
TIB1,LOWER60SEC,False,7919,0.0,10,0.0,0.0,0.0,1,1,1
ULPBESS1,LOWER60SEC,False,3,0.0005773502691896238,11,0.005773502691896239,0.0,0.0,2,1,1
WANDB1,LOWER60SEC,False,7085,0.0,10,0.0,0.0,0.0,1,1,1
WDBESS1,LOWER60SEC,False,8175,0.0,10,0.0,0.0,0.0,1,1,1
WTAHB1,LOWER60SEC,False,1726,1078.9810786437217,20,0.10442843578939948,8.913712912023739,7475.58416772401,2,2,2
ADPBA1,LOWER6SEC,False,5832,0.0,10,0.0,0.0,0.0,1,1,1
BALB1,LOWER6SEC,False,8978,0.0,10,0.0,0.0,0.0,1,1,1
BLYTHB1,LOWER6SEC,False,4903,0.0,10,0.0,0.0,0.0,1,1,1
BOWWBA1,LOWER6SEC,False,5834,0.0,10,0.0,0.0,0.0,1,1,1
BULBES1,LOWER6SEC,False,7139,0.0,10,0.0,0.0,0.0,1,1,1
CAPBES1,LOWER6SEC,False,96,0.0,10,0.0,0.0,0.0,1,1,1
CBWWBA1,LOWER6SEC,False,5825,0.0,10,0.0,0.0,0.0,1,1,1
